Week,Day,DSA Topic,Development Topic,DSA Progress,Dev Progress
Week 1,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 1,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 1,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 1,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 1,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 1,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 1,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 2,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 2,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 2,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 2,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 2,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 2,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 2,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 3,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 3,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 3,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 3,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 3,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 3,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 3,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 4,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 4,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 4,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 4,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 4,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 4,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 4,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 5,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 5,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 5,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 5,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 5,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 5,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 5,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 6,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 6,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 6,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 6,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 6,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 6,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 6,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 7,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 7,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 7,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 7,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 7,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 7,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 7,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 8,Monday,Arrays: Basics + Two Pointer Problems,HTML + CSS Refresher,Not Started,Not Started
Week 8,Tuesday,Strings: Frequency Map + Basic Problems,"JavaScript Basics (let, const, functions, loops)",Not Started,Not Started
Week 8,Wednesday,Linked List: Singly LL + Basic Problems,DOM Manipulation + Event Handling,Not Started,Not Started
Week 8,Thursday,Stack & Queue: Intro + Problems,"React Basics: JSX, Props, State",Not Started,Not Started
Week 8,Friday,Mixed Practice: Arrays/Strings,React Components + Hooks,Not Started,Not Started
Week 8,Saturday,DSA Practice: 3-4 Problems (Medium) + Quant Aptitude,Build a Simple React App (ToDo List),Not Started,Not Started
Week 8,Sunday,Mock Contest + Review + Quant Aptitude,Polish Project + Push to GitHub,Not Started,Not Started
Week 9,Monday,Recursion + Backtracking,"Node.js Basics (HTTP, Routing)",Not Started,Not Started
Week 9,Tuesday,Binary Trees + BST,Express.js (Routing + Middlewares),Not Started,Not Started
Week 9,Wednesday,Sorting Algorithms (Merge/Quick),MongoDB Basics (CRUD + Mongoose),Not Started,Not Started
